 ,QuickSort ,1000 ,1 ,1.986111 ,1.986111
douglas-Inspiron-3583,QuickSort,1000,1,1.837076,1.837076
douglas-Inspiron-3583,QuickSort,1000,100,256.779528,2.567795
douglas-Inspiron-3583,BubbleSort,1000,100,8.271739,0.082717
Eduardo,QuickSort,1000,1,0.66627,0.66627
Eduardo,QuickSort,1000,1,0.667801,0.667801
Eduardo,QuickSort,1000,1,0.680893,0.680893
Eduardo,QuickSort,1000,1,0.745018,0.745018
Eduardo,QuickSort,1000,1,0.900896,0.900896
Eduardo,QuickSort,1000,1,0.710184,0.710184
Eduardo,QuickSort,1000,1,0.638146,0.638146
Eduardo,QuickSort,1000,1,0.716208,0.716208
Eduardo,QuickSort,1000,1,0.650837,0.650837
Eduardo,QuickSort,1000,1,0.678138,0.678138
Eduardo,QuickSort,1000,1,0.642476,0.642476
Eduardo,QuickSort,1000,1,0.852162,0.852162
Eduardo,QuickSort,1000,1,1.013472,1.013472
Eduardo,QuickSort,1000,1,0.695865,0.695865
Eduardo,QuickSort,1000,1,0.796446,0.796446
Eduardo,QuickSort,1000,1,0.770941,0.770941
douglas-Inspiron-3583,BubbleSort,1000,1,176.928646,176.928646 
douglas-Inspiron-3583,BubbleSort,10000,1,7685.016612,7685.016612 
douglas-Inspiron-3583,BubbleSort,50000,1,194947.761683,194947.761683 
douglas-Inspiron-3583,BubbleSort,80000,1,534122.58366,534122.58366 
douglas-Inspiron-3583,BubbleSort,100000,1,810847.765246,810847.765246 
douglas-Inspiron-3583,QuickSort,1000,1,4.227149,4.227149
douglas-Inspiron-3583,QuickSort,10000,1,47.9218,47.9218
douglas-Inspiron-3583,QuickSort,50000,1,185.512146,185.512146
douglas-Inspiron-3583,QuickSort,80000,1,199.121757,199.121757
douglas-Inspiron-3583,QuickSort,100000,1,229.340903,229.340903
douglas-Inspiron-3583,InsertionSort,1000,1,51.948242,51.948242
douglas-Inspiron-3583,InsertionSort,10000,1,3558.481762,3558.481762
douglas-Inspiron-3583,InsertionSort,50000,1,96819.402038,96819.402038
douglas-Inspiron-3583,InsertionSort,80000,1,231877.553303,231877.553303
douglas-Inspiron-3583,InsertionSort,100000,1,364637.671471,364637.671471
douglas-Inspiron-3583,RadixSort,1000,1,3.300003,3.300003
douglas-Inspiron-3583,RadixSort,10000,1,38.173868,38.173868
douglas-Inspiron-3583,RadixSort,50000,1,162.247581,162.247581
douglas-Inspiron-3583,RadixSort,80000,1,205.66521,205.66521
douglas-Inspiron-3583,RadixSort,100000,1,251.948199,251.948199
douglas-Inspiron-3583,SelectionSort,1000,1,61.096747,61.096747
douglas-Inspiron-3583,SelectionSort,10000,1,3061.611159,3061.611159
douglas-Inspiron-3583,SelectionSort,50000,1,80621.348178,80621.348178
douglas-Inspiron-3583,SelectionSort,80000,1,217144.746295,217144.746295
douglas-Inspiron-3583,SelectionSort,100000,1,335805.445921,335805.445921
Desktop6,RadixSort,1000,1,3.453,3.453
Desktop6,RadixSort,10000,1,21.2509,21.2509
Desktop6,RadixSort,50000,1,89.0709,89.0709
Desktop6,RadixSort,80000,1,215.5453,215.5453
Desktop6,RadixSort,100000,1,246.0421,246.0421
Desktop6,QuickSort,1000,1,2.8698,2.8698
Desktop6,QuickSort,10000,1,30.8761,30.8761
Desktop6,QuickSort,50000,1,87.3048,87.3048
Desktop6,QuickSort,80000,1,158.5993,158.5993
Desktop6,QuickSort,100000,1,190.023,190.023
Desktop6,BubbleSort,1000,1,54.8871,54.8871
Desktop6,BubbleSort,10000,1,4700.9792,4700.9792
Desktop6,BubbleSort,50000,1,136757.9588,136757.9588
Desktop6,BubbleSort,80000,1,354333.8234,354333.8234
Desktop6,BubbleSort,100000,1,557078.1398,557078.1398
Desktop6,InsertionSort,1000,1,27.3899,27.3899
Desktop6,InsertionSort,10000,1,2001.8603,2001.8603
Desktop6,InsertionSort,50000,1,55096.7855,55096.7855
Desktop6,InsertionSort,80000,1,176991.697,176991.697
Desktop6,InsertionSort,100000,1,261999.0021,261999.0021
Desktop6,SelectionSort,1000,1,23.0062,23.0062
Desktop6,SelectionSort,10000,1,1962.5312,1962.5312
Desktop6,SelectionSort,50000,1,55391.7783,55391.7783
Desktop6,SelectionSort,80000,1,149616.9734,149616.9734
Desktop6,SelectionSort,100000,1,236040.1409,236040.1409
